Time end=2026-01-23 17:40:43; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=26100; num_fit_par=9; runtime in seconds=347.320365083; runtime in hours=0.09647787918972223; CPUs per iteration=0.05322917472536399; what_stat=multipoles
Time end=2026-03-03 18:51:46; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=49500; num_fit_par=9; runtime in seconds=1048.9625056250006; runtime in hours=0.2913784737847224; CPUs per iteration=0.08476464691919197; what_stat=wedges
Time end=2026-03-03 20:43:13; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=51600; num_fit_par=9; runtime in seconds=1094.7980998329986; runtime in hours=0.30411058328694407; CPUs per iteration=0.08486806975449601; what_stat=wedges
Time end=2026-03-03 21:07:25; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=65900; num_fit_par=9; runtime in seconds=1383.6291651249994; runtime in hours=0.38434143475694427; CPUs per iteration=0.0839835608573596; what_stat=wedges
Time end=2026-03-03 21:26:03; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=4; n_live=1000; final num_samp_points=49700; num_fit_par=9; runtime in seconds=1042.9942635420011; runtime in hours=0.289720628761667; CPUs per iteration=0.08394320028507052; what_stat=wedges
Time end=2026-03-04 16:25:40; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=2; n_live=1000; final num_samp_points=38600; num_fit_par=9; runtime in seconds=973.2936442499995; runtime in hours=0.27035934562499986; CPUs per iteration=0.050429722499999975; what_stat=multipoles
Time end=2026-03-06 15:27:52; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=26622; num_fit_par=6; runtime in seconds=338.648491167; runtime in hours=0.09406902532416667; CPUs per iteration=0.03816187639925625; what_stat=multipoles
Time end=2026-03-06 15:37:07; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=26520; num_fit_par=6; runtime in seconds=335.73539437499994; runtime in hours=0.09325983177083332; CPUs per iteration=0.0379791170107466; what_stat=multipoles
Time end=2026-03-06 15:44:22; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=30396; num_fit_par=6; runtime in seconds=396.53827441600015; runtime in hours=0.11014952067111115; CPUs per iteration=0.03913721618791948; what_stat=multipoles
Time end=2026-03-06 15:53:16; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=30294; num_fit_par=6; runtime in seconds=390.406653042; runtime in hours=0.10844629251166667; CPUs per iteration=0.03866177986155674; what_stat=multipoles
Time end=2026-03-06 16:01:34; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=36210; num_fit_par=6; runtime in seconds=473.44503508299977; runtime in hours=0.1315125097452777; CPUs per iteration=0.03922494076909692; what_stat=multipoles
Time end=2026-03-06 16:09:47; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=36618; num_fit_par=6; runtime in seconds=475.058362666; runtime in hours=0.13196065629611112; CPUs per iteration=0.03892006903703097; what_stat=multipoles
Time end=2026-03-07 14:01:58; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=26724; num_fit_par=6; runtime in seconds=316.38666858299985; runtime in hours=0.08788518571749995; CPUs per iteration=0.03551713836809608; what_stat=wedges
Time end=2026-03-07 14:07:42; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=27234; num_fit_par=6; runtime in seconds=317.8177474999993; runtime in hours=0.0882827076388887; CPUs per iteration=0.035009665950649846; what_stat=wedges
Time end=2026-03-07 14:12:48; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=23970; num_fit_par=6; runtime in seconds=277.1682305409995; runtime in hours=0.07699117515027765; CPUs per iteration=0.03468939055581971; what_stat=wedges
Time end=2026-03-07 14:18:18; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=24582; num_fit_par=6; runtime in seconds=282.3229292920005; runtime in hours=0.07842303591444458; CPUs per iteration=0.03445483637930199; what_stat=wedges
Time end=2026-03-07 14:23:27; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=22338; num_fit_par=6; runtime in seconds=255.51938987500034; runtime in hours=0.0709776082986112; CPUs per iteration=0.034316329556137566; what_stat=wedges
Time end=2026-03-07 14:28:07; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=22950; num_fit_par=6; runtime in seconds=260.42658320900046; runtime in hours=0.07234071755805568; CPUs per iteration=0.034042690615555614; what_stat=wedges
Time end=2026-03-07 14:42:32; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=37230; num_fit_par=9; runtime in seconds=789.0742582500006; runtime in hours=0.2191872939583335; CPUs per iteration=0.063583743614021; what_stat=multipoles
Time end=2026-03-07 15:12:39; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=35292; num_fit_par=9; runtime in seconds=750.3643699580025; runtime in hours=0.20843454721055624; CPUs per iteration=0.06378479853434227; what_stat=multipoles
Time end=2026-03-07 15:30:37; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=46614; num_fit_par=9; runtime in seconds=1001.6686475839997; runtime in hours=0.27824129099555545; CPUs per iteration=0.06446573867833696; what_stat=multipoles
Time end=2026-03-07 15:46:47; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=42840; num_fit_par=9; runtime in seconds=928.6425170410002; runtime in hours=0.25795625473361117; CPUs per iteration=0.06503098858830533; what_stat=multipoles
Time end=2026-03-07 16:05:42; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=50490; num_fit_par=9; runtime in seconds=1093.0703511249994; runtime in hours=0.30363065309027765; CPUs per iteration=0.0649477332813428; what_stat=multipoles
Time end=2026-03-07 16:25:02; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=49164; num_fit_par=9; runtime in seconds=1077.3747597499969; runtime in hours=0.29927076659722135; CPUs per iteration=0.06574168658469592; what_stat=multipoles
Time end=2026-03-08 14:42:05; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=57630; num_fit_par=9; runtime in seconds=1188.1828653750017; runtime in hours=0.3300507959375005; CPUs per iteration=0.061852309493753345; what_stat=wedges
Time end=2026-03-08 14:58:50; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=47022; num_fit_par=9; runtime in seconds=960.7156671249977; runtime in hours=0.26686546309027714; CPUs per iteration=0.06129358601027164; what_stat=wedges
Time end=2026-03-08 15:16:40; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=43248; num_fit_par=9; runtime in seconds=890.3232800000005; runtime in hours=0.24731202222222237; CPUs per iteration=0.06175938401775808; what_stat=wedges
Time end=2026-03-08 15:30:59; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=41004; num_fit_par=9; runtime in seconds=828.9530351659996; runtime in hours=0.23026473199055544; CPUs per iteration=0.0606491831406204; what_stat=wedges
Time end=2026-03-08 15:47:53; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=45696; num_fit_par=9; runtime in seconds=936.5106518749999; runtime in hours=0.26014184774305554; CPUs per iteration=0.06148310477120535; what_stat=wedges
Time end=2026-03-08 15:59:30; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=30396; num_fit_par=9; runtime in seconds=624.0741412499992; runtime in hours=0.17335392812499978; CPUs per iteration=0.061594368461310625; what_stat=wedges
Time end=2026-03-08 16:35:39; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=26826; num_fit_par=6; runtime in seconds=337.34195358299985; runtime in hours=0.09370609821749996; CPUs per iteration=0.037725559559718166; what_stat=multipoles
Time end=2026-03-08 16:44:52; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=26724; num_fit_par=6; runtime in seconds=335.8544584580013; runtime in hours=0.09329290512722259; CPUs per iteration=0.037702566059497226; what_stat=multipoles
Time end=2026-03-08 16:54:22; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=31008; num_fit_par=6; runtime in seconds=403.56720066699927; runtime in hours=0.11210200018527758; CPUs per iteration=0.03904481430601773; what_stat=multipoles
Time end=2026-03-08 17:02:42; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=30498; num_fit_par=6; runtime in seconds=397.04646800000046; runtime in hours=0.11029068555555568; CPUs per iteration=0.0390563120204604; what_stat=multipoles
Time end=2026-03-08 17:12:06; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=36924; num_fit_par=6; runtime in seconds=487.6355607910009; runtime in hours=0.1354543224419447; CPUs per iteration=0.03961939882929809; what_stat=multipoles
Time end=2026-03-08 17:22:39; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_multipoles; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=36516; num_fit_par=6; runtime in seconds=476.7579232909993; runtime in hours=0.13243275646972202; CPUs per iteration=0.039168413020949665; what_stat=multipoles
Time end=2026-03-08 17:28:12; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=21828; num_fit_par=6; runtime in seconds=246.22194312500505; runtime in hours=0.0683949842013903; CPUs per iteration=0.03384028904961587; what_stat=wedges
Time end=2026-03-08 17:33:11; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=22746; num_fit_par=6; runtime in seconds=255.44210662499972; runtime in hours=0.07095614072916659; CPUs per iteration=0.03369059702255338; what_stat=wedges
Time end=2026-03-09 16:44:32; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=23256; num_fit_par=6; runtime in seconds=264.7601232089946; runtime in hours=0.07354447866916518; CPUs per iteration=0.034153782663699; what_stat=wedges
Time end=2026-03-09 16:49:23; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=24581; num_fit_par=6; runtime in seconds=278.9982577499977; runtime in hours=0.07749951604166604; CPUs per iteration=0.03405047692323311; what_stat=wedges
Time end=2026-03-09 16:55:12; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=26316; num_fit_par=6; runtime in seconds=315.1345725420033; runtime in hours=0.08753738126166759; CPUs per iteration=0.03592505386935742; what_stat=wedges
Time end=2026-03-09 17:01:00; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=28254; num_fit_par=6; runtime in seconds=332.6856571249955; runtime in hours=0.09241268253472097; CPUs per iteration=0.03532444862231848; what_stat=wedges
Time end=2026-03-28 16:39:58; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=33660; num_fit_par=9; runtime in seconds=688.4347446250031; runtime in hours=0.1912318735069453; CPUs per iteration=0.06135782037655999; what_stat=wedges
Time end=2026-03-28 16:51:49; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=33354; num_fit_par=9; runtime in seconds=679.9361893329988; runtime in hours=0.18887116370361076; CPUs per iteration=0.061156340109102245; what_stat=wedges
Time end=2026-03-28 17:16:00; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=62816; num_fit_par=9; runtime in seconds=1297.9536049999952; runtime in hours=0.3605426680555542; CPUs per iteration=0.061988359892383875; what_stat=wedges
Time end=2026-03-28 17:35:19; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=53040; num_fit_par=9; runtime in seconds=1085.350152583007; runtime in hours=0.30148615349527974; CPUs per iteration=0.06138858329089406; what_stat=wedges
Time end=2026-03-28 17:52:16; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=47532; num_fit_par=9; runtime in seconds=968.8866956670099; runtime in hours=0.26913519324083607; CPUs per iteration=0.06115164703780673; what_stat=wedges
Time end=2026-03-28 18:09:53; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=46104; num_fit_par=9; runtime in seconds=950.6395519590005; runtime in hours=0.2640665422108335; CPUs per iteration=0.06185837792549457; what_stat=wedges
Time end=2026-03-28 18:15:48; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=21930; num_fit_par=6; runtime in seconds=246.9942241670069; runtime in hours=0.06860950671305747; CPUs per iteration=0.033788539557730084; what_stat=wedges
Time end=2026-03-28 18:23:08; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=22032; num_fit_par=6; runtime in seconds=249.26672012500057; runtime in hours=0.06924075559027794; CPUs per iteration=0.03394154685797938; what_stat=wedges
Time end=2026-03-28 18:34:37; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=24174; num_fit_par=6; runtime in seconds=279.95760954200523; runtime in hours=0.07776600265055701; CPUs per iteration=0.03474281577835756; what_stat=wedges
Time end=2026-03-28 18:41:25; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=23868; num_fit_par=6; runtime in seconds=274.1967217499914; runtime in hours=0.07616575604166428; CPUs per iteration=0.034464143005277954; what_stat=wedges
Time end=2026-03-28 18:47:47; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=27438; num_fit_par=6; runtime in seconds=325.3995406670001; runtime in hours=0.09038876129638893; CPUs per iteration=0.03557834470446098; what_stat=wedges
Time end=2026-03-28 19:01:37; path+name=chains/CLPT_lambda/chain_CLPT-z_1.0-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.0]; pool=3; n_live=1000; final num_samp_points=27030; num_fit_par=6; runtime in seconds=316.62955970798794; runtime in hours=0.08795265547444109; CPUs per iteration=0.035142015505881016; what_stat=wedges
Time end=2026-03-28 19:14:18; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=31620; num_fit_par=9; runtime in seconds=637.588047917001; runtime in hours=0.17710779108805583; CPUs per iteration=0.06049222466005701; what_stat=wedges
Time end=2026-03-28 19:31:08; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=39474; num_fit_par=9; runtime in seconds=799.5348382910015; runtime in hours=0.2220930106363893; CPUs per iteration=0.06076416159682334; what_stat=wedges
Time end=2026-03-28 19:45:44; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=37434; num_fit_par=9; runtime in seconds=803.2622420419939; runtime in hours=0.22312840056722053; CPUs per iteration=0.06437427809280284; what_stat=wedges
Time end=2026-03-29 14:54:02; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=38658; num_fit_par=9; runtime in seconds=790.7712557499908; runtime in hours=0.21965868215277523; CPUs per iteration=0.061366696860933635; what_stat=wedges
Time end=2026-03-29 15:13:38; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=53754; num_fit_par=9; runtime in seconds=1097.7434131659975; runtime in hours=0.30492872587944375; CPUs per iteration=0.06126484056066511; what_stat=wedges
Time end=2026-03-29 15:33:52; path+name=chains/CLEFT_lambda/chain_CLEFT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=53652; num_fit_par=9; runtime in seconds=1100.8655563330103; runtime in hours=0.3057959878702806; CPUs per iteration=0.06155589109444254; what_stat=wedges
Time end=2026-03-29 15:39:17; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=21930; num_fit_par=6; runtime in seconds=245.1014359999972; runtime in hours=0.06808373222222144; CPUs per iteration=0.03352960820793395; what_stat=wedges
Time end=2026-03-29 15:44:15; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin40-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=21930; num_fit_par=6; runtime in seconds=245.77256024999951; runtime in hours=0.06827015562499987; CPUs per iteration=0.033621417270861764; what_stat=wedges
Time end=2026-03-29 15:50:50; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=23460; num_fit_par=6; runtime in seconds=268.5475258330116; runtime in hours=0.07459653495361433; CPUs per iteration=0.03434111583542348; what_stat=wedges
Time end=2026-03-29 15:55:51; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin30-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=23664; num_fit_par=6; runtime in seconds=269.0607677920052; runtime in hours=0.07473910216444589; CPUs per iteration=0.03411013790466597; what_stat=wedges
Time end=2026-03-29 16:01:51; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=26826; num_fit_par=6; runtime in seconds=320.4184420840029; runtime in hours=0.08900512280111192; CPUs per iteration=0.035832972722433784; what_stat=wedges
Time end=2026-03-29 16:07:26; path+name=chains/CLPT_lambda/chain_CLPT-z_1.2-smin20-de_model_lambda-cov_it_2-what_stat_wedges; multi_z=[1.2]; pool=3; n_live=1000; final num_samp_points=26928; num_fit_par=6; runtime in seconds=321.82533008301107; runtime in hours=0.08939592502305863; CPUs per iteration=0.03585398062422138; what_stat=wedges
